,Positive,Negative,Predicted Positive,Predicted Negative
0,True,False,True,False
1,True,False,True,False
2,True,False,True,False
3,False,True,False,True
4,True,False,False,True
5,False,True,True,False
6,False,True,True,False
7,True,False,True,False
8,True,False,True,False
9,True,False,False,True
10,True,False,False,True
11,True,False,True,False
12,True,False,True,False
13,True,False,True,False
14,False,True,True,False
15,False,True,True,False
16,True,False,True,False
17,True,False,True,False
18,False,True,True,False
19,True,False,False,True
20,True,False,True,False
21,True,False,False,True
22,True,False,False,True
23,True,False,True,False
24,False,True,True,False
25,True,False,True,False
26,True,False,True,False
27,True,False,True,False
28,False,True,False,True
29,False,True,True,False
30,True,False,True,False
31,True,False,True,False
32,False,True,True,False
33,False,True,True,False
34,True,False,True,False
35,False,True,True,False
36,True,False,True,False
37,True,False,True,False
38,False,True,True,False
39,True,False,True,False
40,False,True,False,True
41,False,True,True,False
42,False,True,True,False
43,True,False,True,False
44,False,True,True,False
45,True,False,True,False
46,True,False,True,False
47,False,True,True,False
48,True,False,True,False
49,True,False,True,False
50,True,False,True,False
51,False,True,False,True
52,True,False,True,False
53,True,False,False,True
54,False,True,True,False
55,True,False,True,False
56,False,True,True,False
57,True,False,True,False
58,False,True,True,False
59,False,True,True,False
60,True,False,True,False
61,True,False,False,True
62,False,True,False,True
63,False,True,True,False
64,True,False,True,False
65,True,False,True,False
66,True,False,False,True
67,True,False,True,False
68,True,False,True,False
69,True,False,False,True
70,True,False,True,False
71,True,False,True,False
72,True,False,True,False
73,True,False,True,False
74,False,True,False,True
75,True,False,True,False
76,True,False,True,False
77,True,False,True,False
78,False,True,True,False
79,True,False,True,False
80,False,True,True,False
81,True,False,False,True
82,True,False,True,False
83,True,False,False,True
84,True,False,True,False
85,False,True,True,False
86,True,False,True,False
87,True,False,True,False
88,True,False,False,True
89,True,False,True,False
90,True,False,False,True
91,True,False,True,False
92,False,True,False,True
93,False,True,True,False
94,False,True,True,False
95,False,True,False,True
96,True,False,True,False
97,True,False,True,False
98,True,False,True,False
99,False,True,True,False
100,True,False,True,False
101,True,False,False,True
102,True,False,False,True
103,True,False,True,False
104,True,False,True,False
105,True,False,False,True
106,True,False,False,True
107,True,False,False,True
108,False,True,True,False
109,True,False,True,False
110,True,False,True,False
111,True,False,False,True
112,True,False,True,False
113,True,False,True,False
114,True,False,True,False
115,True,False,False,True
116,True,False,False,True
117,False,True,False,True
118,False,True,True,False
119,False,True,False,True
120,True,False,False,True
121,True,False,True,False
122,False,True,True,False
123,True,False,False,True
124,True,False,True,False
125,True,False,False,True
126,True,False,False,True
127,False,True,True,False
128,True,False,True,False
129,True,False,True,False
130,False,True,True,False
131,True,False,True,False
132,False,True,True,False
133,True,False,True,False
134,True,False,False,True
135,True,False,True,False
136,True,False,True,False
137,False,True,True,False
138,True,False,True,False
139,False,True,True,False
140,True,False,True,False
141,False,True,True,False
142,False,True,True,False
143,False,True,True,False
144,True,False,True,False
145,True,False,True,False
146,True,False,True,False
147,False,True,True,False
148,True,False,True,False
149,False,True,True,False
150,True,False,True,False
151,False,True,True,False
152,True,False,True,False
153,True,False,True,False
154,True,False,True,False
155,True,False,True,False
156,True,False,False,True
157,True,False,True,False
158,True,False,True,False
159,True,False,True,False
160,True,False,True,False
161,True,False,True,False
162,False,True,False,True
163,False,True,False,True
164,True,False,False,True
165,True,False,True,False
166,True,False,True,False
167,True,False,False,True
168,False,True,False,True
169,True,False,True,False
170,False,True,True,False
171,False,True,False,True
172,True,False,True,False
173,False,True,False,True
174,True,False,True,False
175,True,False,False,True
176,True,False,False,True
177,True,False,False,True
178,True,False,True,False
179,False,True,True,False
180,True,False,True,False
